,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
619,619,Tezu,IN,27.9167,96.1667,85.87,39,90,3.27,overcast clouds
620,620,Bambanglipuro,ID,-7.95,110.2833,85.51,66,100,8.86,overcast clouds
623,623,Morant Bay,JM,17.8815,-76.4093,82.02,81,100,5.23,overcast clouds
639,639,Sal Rei,CV,16.1833,-22.9167,77.16,77,6,16.37,clear sky
647,647,Lubao,PH,14.9167,120.55,89.67,65,96,3.4,overcast clouds
650,650,Guigue,VE,10.0853,-67.7792,82.22,74,32,0.0,scattered clouds
653,653,Port-Gentil,GA,-0.7193,8.7815,77.11,87,100,3.85,moderate rain
656,656,Tevaitoa,PF,-16.7833,-151.5,79.25,75,11,12.48,few clouds
658,658,Cabedelo,BR,-6.9811,-34.8339,77.67,80,53,10.47,broken clouds
659,659,Belmonte,BR,-15.8631,-38.8828,75.15,87,75,8.86,broken clouds
667,667,Linqiong,CN,30.4159,103.4609,80.42,51,91,3.27,overcast clouds
669,669,Kankon,IN,15.0167,74.0167,84.0,48,2,4.29,clear sky
670,670,Bamnet Narong,TH,15.4992,101.6897,83.19,59,68,14.25,broken clouds
672,672,Gizo,SB,-8.103,156.8419,83.57,72,95,11.65,light rain
673,673,Qiyang,CN,26.5911,111.8474,84.7,21,40,10.47,scattered clouds
674,674,Benjamin Constant,BR,-4.3831,-70.0311,75.33,97,85,1.86,heavy intensity rain
677,677,Berbera,SO,10.4396,45.0143,83.71,68,28,6.24,light rain
678,678,Socorro,US,31.6546,-106.3033,78.19,39,20,9.22,few clouds
679,679,Patawag,PH,8.1064,122.6208,83.59,73,100,3.76,moderate rain
685,685,Les Cayes,HT,18.2,-73.75,77.02,83,100,3.78,overcast clouds
688,688,Tondano,ID,1.3038,124.9112,78.89,73,99,1.81,overcast clouds
692,692,Auki,SB,-8.7676,160.7034,82.6,75,100,8.14,overcast clouds
693,693,Kimbe,PG,-5.5502,150.1429,77.4,88,100,1.54,overcast clouds
694,694,Kribi,CM,2.95,9.9167,75.42,92,100,2.24,light rain
696,696,Sao Filipe,CV,14.8961,-24.4956,78.35,72,76,7.54,broken clouds
697,697,Dawei,MM,14.0833,98.2,84.7,76,25,4.79,scattered clouds
703,703,The Valley,AI,18.217,-63.0578,80.82,73,1,8.37,clear sky
705,705,Basco,PH,20.4487,121.9702,81.68,82,99,10.94,overcast clouds
707,707,Trat,TH,12.5,102.5,89.8,65,58,6.02,broken clouds
709,709,Tura,IN,25.5198,90.2201,84.56,49,79,1.59,broken clouds
711,711,Pemangkat,ID,1.1667,108.9667,83.71,72,96,5.48,overcast clouds
713,713,Brokopondo,SR,4.75,-55.1667,77.77,83,55,7.27,broken clouds
715,715,Paka,MY,4.6374,103.4368,76.48,87,100,12.08,moderate rain
718,718,Harindanga,IN,22.0383,88.3214,76.33,80,100,6.8,light rain
720,720,Soe,ID,-9.8607,124.284,87.4,41,76,9.95,broken clouds
